频率(Hz),幅度
0,8.26966e-08
0.976562,1.6553e-07
1.95312,1.65942e-07
2.92969,1.66629e-07
3.90625,1.67593e-07
4.88281,1.68835e-07
5.85938,1.70359e-07
6.83594,1.72167e-07
7.8125,1.74263e-07
8.78906,1.76651e-07
9.76562,1.79338e-07
10.7422,1.82328e-07
11.7188,1.85629e-07
12.6953,1.89249e-07
13.6719,1.93196e-07
14.6484,1.97481e-07
15.625,2.02114e-07
16.6016,2.07108e-07
17.5781,2.12476e-07
18.5547,2.18234e-07
19.5312,2.24398e-07
20.5078,2.30986e-07
21.4844,2.38018e-07
22.4609,2.45517e-07
23.4375,2.53506e-07
24.4141,2.62013e-07
25.3906,2.71065e-07
26.3672,2.80695e-07
27.3438,2.90937e-07
28.3203,3.01829e-07
29.2969,3.13411e-07
30.2734,3.25731e-07
31.25,3.38836e-07
32.2266,3.5278e-07
33.2031,3.67623e-07
34.1797,3.8343e-07
35.1562,4.0027e-07
36.1328,4.18223e-07
37.1094,4.37372e-07
38.0859,4.57813e-07
39.0625,4.79647e-07
40.0391,5.0299e-07
41.0156,5.27965e-07
41.9922,5.54713e-07
42.9688,5.83385e-07
43.9453,6.14151e-07
44.9219,6.472e-07
45.8984,6.82741e-07
46.875,7.21007e-07
47.8516,7.62258e-07
48.8281,8.06785e-07
49.8047,8.54911e-07
50.7812,9.07004e-07
51.7578,9.63473e-07
52.7344,1.02478e-06
53.7109,1.09145e-06
54.6875,1.16408e-06
55.6641,1.24333e-06
56.6406,1.32998e-06
57.6172,1.42489e-06
58.5938,1.52908e-06
59.5703,1.64369e-06
60.5469,1.77006e-06
61.5234,1.90971e-06
62.5,2.06444e-06
63.4766,2.23632e-06
64.4531,2.42778e-06
65.4297,2.64169e-06
66.4062,2.8814e-06
67.3828,3.15094e-06
68.3594,3.45505e-06
69.3359,3.79944e-06
70.3125,4.191e-06
71.2891,4.63806e-06
72.2656,5.15077e-06
73.2422,5.74162e-06
74.2188,6.42603e-06
75.1953,7.22324e-06
76.1719,8.15742e-06
77.1484,9.25924e-06
78.125,1.0568e-05
79.1016,1.21345e-05
80.0781,1.40253e-05
81.0547,1.63289e-05
82.0312,1.91641e-05
83.0078,2.26934e-05
83.9844,2.71426e-05
84.9609,3.28317e-05
85.9375,4.02244e-05
86.9141,5.00087e-05
87.8906,6.32356e-05
88.8672,8.15626e-05
89.8438,0.000107707
90.8203,0.000146328
91.7969,0.000205867
92.7734,0.000302687
93.75,0.000471344
94.7266,0.000793556
95.7031,0.00149535
96.6797,0.00336828
97.6562,0.0105992
98.6328,0.0903319
99.6094,0.360116
100.586,0.315186
101.562,0.0487475
102.539,0.00812504
103.516,0.00282831
104.492,0.0013143
105.469,0.00071753
106.445,0.00043468
107.422,0.000283295
108.398,0.000194932
109.375,0.000139878
110.352,0.000103786
111.328,7.91364e-05
112.305,6.17254e-05
113.281,4.90765e-05
114.258,3.96648e-05
115.234,3.25164e-05
116.211,2.6989e-05
117.188,2.26473e-05
118.164,1.91894e-05
119.141,1.6401e-05
120.117,1.41273e-05
121.094,1.22547e-05
122.07,1.06982e-05
123.047,9.39379e-06
124.023,8.29226e-06
125,7.35553e-06
125.977,6.55379e-06
126.953,5.86348e-06
127.93,5.2658e-06
128.906,4.74562e-06
129.883,4.2907e-06
130.859,3.89104e-06
131.836,3.5384e-06
132.812,3.22601e-06
133.789,2.94819e-06
134.766,2.70022e-06
135.742,2.47812e-06
136.719,2.27853e-06
137.695,2.0986e-06
138.672,1.9359e-06
139.648,1.78835e-06
140.625,1.65416e-06
141.602,1.53179e-06
142.578,1.41992e-06
143.555,1.31739e-06
144.531,1.22321e-06
145.508,1.13652e-06
146.484,1.05659e-06
147.461,9.82767e-07
148.438,9.14524e-07
149.414,8.51413e-07
150.391,7.93079e-07
151.367,7.39257e-07
152.344,6.89777e-07
153.32,6.44575e-07
154.297,6.03699e-07
155.273,5.67331e-07
156.25,5.35792e-07
157.227,5.09555e-07
158.203,4.89238e-07
159.18,4.75569e-07
160.156,4.69329e-07
161.133,4.71264e-07
162.109,4.82005e-07
163.086,5.02007e-07
164.062,5.31568e-07
165.039,5.70889e-07
166.016,6.20179e-07
166.992,6.79762e-07
167.969,7.50162e-07
168.945,8.32184e-07
169.922,9.26967e-07
170.898,1.03605e-06
171.875,1.16147e-06
172.852,1.30579e-06
173.828,1.47233e-06
174.805,1.66523e-06
175.781,1.88978e-06
176.758,2.15267e-06
177.734,2.46251e-06
178.711,2.83036e-06
179.688,3.27066e-06
180.664,3.80246e-06
181.641,4.45121e-06
182.617,5.2514e-06
183.594,6.25054e-06
184.57,7.51533e-06
185.547,9.14131e-06
186.523,1.12686e-05
187.5,1.41082e-05
188.477,1.79877e-05
189.453,2.34347e-05
